nom,prenom,apogee,cour9,cour10,cour11,cour12,cour13,cour14,cour15,cour16,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16
Benkirane,Fouad,66141774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zayed,Dounia,34462736,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
El-Bay,Dounia,87205287,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Cherkaoui,Hajar,61461023,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kabbour,Dari,92839140,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1
Ait-Lahcen,Zine,61455530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fattah,Nawel,17548754,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
El-Solh,Salim,89802536,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Berrah,Najwa,57501364,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0
Hajji,Kawtar,30518617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berouane,Bilal,90569199,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Djamel,Adil,22135175,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
Arbi,Laila,14704189,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1
Lahrichi,Rama,25415120,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1
El-Rahmani,Fouad,29962256,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mouhammad,Rachid,20612869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fassi,Zaynab,57761949,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1
Benno,Amal,63830043,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Maha,Adil,31295400,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1
Rabi,Samira,66110542,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
El-Aissawi,Brahim,40031992,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1
Mejri,Hassan,64259908,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
Mourad,Loubna,36104001,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1
Salhi,Amina,40936277,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
Aziz,Fatima,94827451,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Tajar,Nasser,82105244,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
Berrah,Saber,95588949,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Aissat,Said,90023592,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Rkia,Hakim,68098717,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
Al-Mutawakkil,Rania,87956839,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Chennouf,Fadoua,46190819,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1
El-Gassimi,Nadia,82720273,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1
El-Kosari,Jamal,75236473,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1
Ouares,Rania,60310362,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
El-Bennani,Fadel,81788668,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
El-Benali,Mounir,85761190,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0
El-Midani,Ali,11493970,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Hasnaoui,Dounia,81811666,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1
Berrada,Jawad,17984924,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Nissani,Hajar,73942041,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
Baddi,Asmae,66376441,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
El-Khader,Hicham,92214212,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1
Ezzedine,Amal,49152306,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
Idrisi,Nassim,46279776,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0
Ouares,Ines,85828368,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
Arbi,Laila,84931248,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
Rifai,Malika,54091618,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
El-Bekkali,Hassan,27070390,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0
El-Midani,Nour,60251853,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
Nadi,Othman,73801476,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Anas,Wiam,25176487,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
El-Mansouri,Maha,59201033,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1
El-Mekki,Malak,35062206,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
El-Idrissi,Hassan,48334134,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0
Maid,Kawtar,57785456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas,Younes,57283480,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0
Saghir,Youssef,95586003,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
El-Mekki,Ines,30843296,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
Nadi,Hajar,18388787,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
Maddouri,Fatiha,46657796,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
El-Chaoui,Imane,60121172,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
Marhaba,Sanae,41059192,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1
Ouazzani,Siham,72183146,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Mouhammad,Loubna,13035541,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Jouhari,Amine,26456283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mejri,Youssef,30141586,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
Benkirane,Loubna,61072533,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1
El-Qasimi,Zine,17583209,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1
Chafik,Hanane,74588410,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
El-Basri,Salim,69535522,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
