nom,prenom,apogee,cour9,cour10,cour11,cour12,cour13,cour14,cour15,cour16,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16
Benkirane,Fouad,66141774,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zayed,Dounia,34462736,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1
El-Bay,Dounia,87205287,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1
Cherkaoui,Hajar,61461023,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0
Kabbour,Dari,92839140,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Ait-Lahcen,Zine,61455530,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Fattah,Nawel,17548754,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
El-Solh,Salim,89802536,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1
Berrah,Najwa,57501364,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Hajji,Kawtar,30518617,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
Berouane,Bilal,90569199,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1
Djamel,Adil,22135175,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Arbi,Laila,14704189,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0
Lahrichi,Rama,25415120,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1
El-Rahmani,Fouad,29962256,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
Mouhammad,Rachid,20612869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fassi,Zaynab,57761949,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
Benno,Amal,63830043,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Maha,Adil,31295400,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1
Rabi,Samira,66110542,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
El-Aissawi,Brahim,40031992,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
Mejri,Hassan,64259908,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1
Mourad,Loubna,36104001,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1
Salhi,Amina,40936277,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
Aziz,Fatima,94827451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tajar,Nasser,82105244,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1
Berrah,Saber,95588949,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
Aissat,Said,90023592,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
Rkia,Hakim,68098717,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
