nom,prenom,apogee,cour1,cour2,cour3,cour4,cour5,cour6,cour7,cour8,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8
Benkirane,Fouad,66141774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zayed,Dounia,34462736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
El-Bay,Dounia,87205287,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
Cherkaoui,Hajar,61461023,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
Kabbour,Dari,92839140,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1
Ait-Lahcen,Zine,61455530,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
Fattah,Nawel,17548754,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1
El-Solh,Salim,89802536,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Berrah,Najwa,57501364,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0
Hajji,Kawtar,30518617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berouane,Bilal,90569199,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0
Djamel,Adil,22135175,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1
Arbi,Laila,14704189,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
Lahrichi,Rama,25415120,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1
El-Rahmani,Fouad,29962256,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Mouhammad,Rachid,20612869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fassi,Zaynab,57761949,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0
Benno,Amal,63830043,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0
Maha,Adil,31295400,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
Rabi,Samira,66110542,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
El-Aissawi,Brahim,40031992,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1
Mejri,Hassan,64259908,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1
Mourad,Loubna,36104001,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1
Salhi,Amina,40936277,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0
Aziz,Fatima,94827451,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Tajar,Nasser,82105244,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1
Berrah,Saber,95588949,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Aissat,Said,90023592,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Rkia,Hakim,68098717,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0
Al-Mutawakkil,Rania,87956839,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
Chennouf,Fadoua,46190819,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
El-Gassimi,Nadia,82720273,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
El-Kosari,Jamal,75236473,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1
Ouares,Rania,60310362,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
El-Bennani,Fadel,81788668,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
El-Benali,Mounir,85761190,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
