ID,Code APO,Nom,Prénom,Sexe,Birthdate,Number of Ajournements,absence_bias
1,42916912,Tawfik,Hiba,F,2002-07-09,0,4
2,86571027,Boussaid,Nabil,M,2002-12-16,0,1
3,48314954,El-Solh,Marwa,F,2002-11-15,0,4
4,24765703,Maki,Khalid,M,2002-08-14,0,2
5,18808852,Hammani,Brahim,M,2002-05-06,0,2
6,84232651,El-Khoury,Sana,F,2002-09-03,0,2
7,73344998,El-Atmani,Samia,F,2002-09-26,0,4
8,45630758,Marhaba,Hiba,F,2002-08-27,0,4
9,32104335,Rabi,Faycal,M,2002-03-31,0,5
10,14821288,Shami,Badr,M,2002-12-24,0,2
11,13460694,El-Mekki,Mouna,F,2002-09-03,0,5
12,82887662,Haddad,Imane,F,2002-06-12,0,4
13,63423310,Chebbi,Nawel,F,2002-07-01,0,4
14,29808454,Badi,Simo,M,2002-08-28,0,3
15,39820660,Arbi,Dari,M,2002-03-21,0,1
16,21792693,Ibrahim,Hajar,F,2002-10-06,0,1
17,86296103,Benbrahim,Jana,F,2002-02-22,0,5
18,87382499,Moussaoui,Hassan,M,2002-04-17,0,3
19,96179908,Rahmouni,Hossam,M,2002-03-06,0,3
20,91582485,El-Kherfi,Imad,M,2002-01-13,0,3
21,32401798,Hibiri,Reda,M,2002-06-19,0,1
22,11080710,Benno,Imad,M,2002-09-15,0,4
23,11239483,Khabir,Samir,M,2002-08-23,0,3
24,30045450,Hafidi,Salma,F,2002-03-20,0,3
25,26719390,Essamadi,Soufiane,M,2002-12-14,0,4
26,12264713,Al-Hossaini,Aicha,F,2002-09-15,0,3
27,27394359,Djamel,Nasser,M,2002-01-25,0,4
28,98959545,Marhaba,Rachida,F,2002-04-22,0,5
29,43597017,Nadi,Kenza,F,2002-12-19,0,5
30,24249276,Zarrouk,Fatima,F,2002-12-11,0,3
31,15081603,Saghir,Kawtar,F,2002-10-18,0,3
32,87864056,Aziz,Laila,F,2002-07-03,0,2
33,47760602,Al-Karim,Aziz,M,2002-12-27,0,1
34,64326138,Koulak,Zaid,M,2002-01-24,0,4
35,69826039,El-Morabit,Wiam,F,2002-05-28,0,3
36,36850169,Brouz,Hiba,F,2002-12-28,0,2
37,79699714,Heraichi,Loubna,F,2002-11-18,0,2
38,61710269,Oumahdi,Zaid,M,2002-12-13,0,3
39,66235790,El-Attari,Rida,M,2002-11-18,0,4
40,82762957,El-Mekki,Rania,F,2002-05-17,0,2
41,11202232,El-Bay,Dari,M,2002-07-23,0,5
42,57029277,El-Boughaz,Soufiane,M,2002-04-15,0,3
43,23214183,Hasnaoui,Lahcen,M,2002-07-25,1,7
44,65062657,El-Fassi,Rim,F,2002-05-22,0,5
45,75268857,Zahiri,Leila,F,2002-01-07,0,2
46,37429265,Khabir,Zaid,M,2002-07-03,0,3
47,96181577,Khabir,Fatiha,F,2002-08-04,0,4
48,73214757,Goussar,Nasser,M,2002-07-10,0,3
49,12661105,Bennani,Ahmed,M,2002-08-22,1,6
50,38678594,Anissi,Meryem,F,2002-01-30,0,3
51,19889540,Omar,Amina,F,2002-12-21,0,5
52,37633984,Rkia,Adil,M,2002-08-31,0,1
53,24931511,El-Khoury,Walid,M,2002-02-11,0,3
54,81947282,Lahiji,Khalid,M,2002-09-03,0,5
55,24829753,Omar,Abdelaziz,M,2002-05-15,0,1
56,98285652,El-Ouarzazi,Hana,F,2002-04-26,0,1
57,18976276,Nadi,Wiam,F,2002-12-26,0,2
58,98920700,El-Saadi,Hanane,F,2002-03-10,0,3
59,28291458,Anissi,Mohcine,M,2002-06-22,0,4
60,17278340,Maddouri,Malak,F,2002-02-15,0,1
61,51763068,Ait-Lahcen,Samira,F,2002-08-01,0,4
62,20000154,El-Hariri,Ismail,M,2002-06-21,0,3
63,96525219,Chafik,Imane,F,2002-07-02,0,5
64,44094596,Benkirane,Chafia,F,2002-11-19,0,5
65,63086119,Khiari,Amina,F,2002-11-03,1,9
66,71278102,Hasnaoui,Asmaa,F,2002-01-12,0,4
67,36141545,Rizki,Abdelkader,M,2002-04-26,0,2
68,27845587,Anouar,Leila,F,2002-02-25,0,5
69,24538085,El-Ayadi,Dari,M,2002-12-17,0,3
70,53434841,Sabri,Zaki,M,2002-03-25,0,4
