ID,Code APO,Nom,Prénom,Sexe,Birthdate,Number of Ajournements,absence_bias
1,34616207,Fattah,Rim,F,2003-09-22,0,5
2,19637826,Didi,Samira,F,2003-12-31,0,5
3,93875780,El-Fassi,Zaid,M,2003-03-17,0,4
4,51455174,Al-Karim,Meryem,F,2003-02-10,0,1
5,17469335,Faiyaz,Loubna,F,2003-05-14,0,3
6,99319458,Rafik,Sofia,F,2003-01-11,0,4
7,82110308,Al-Khiyari,Adil,M,2003-11-25,0,4
8,57410840,Rifai,Abdelkader,M,2003-01-27,0,2
9,37251789,Meriem,Mohammed,M,2003-12-11,0,3
10,94410242,El-Hariri,Aziz,M,2003-06-14,0,2
11,33760418,El-Moudden,Adil,M,2003-07-27,0,2
12,78341217,Ramdani,Rida,M,2003-05-05,0,3
13,44215015,Boudiaf,Rania,F,2003-11-11,0,4
14,87605502,El-Fassi,Samira,F,2003-07-26,0,2
15,83585814,Jabari,Fatiha,F,2003-01-27,0,3
16,28787964,El-Mekki,Samira,F,2003-08-17,0,4
17,98718806,El-Bekkali,Anissa,F,2003-08-05,0,2
18,77246649,Ibrahim,Nour,F,2003-10-18,0,4
19,89549000,El-Soufi,Jawad,M,2003-08-04,0,4
20,85025973,Saib,Widad,F,2003-05-19,0,1
21,42266475,Goussar,Leila,F,2003-01-13,0,5
22,61280824,Hassani,Hicham,M,2003-08-13,0,4
23,73291210,El-Rahmani,Hassan,M,2003-05-25,0,2
24,47317280,El-Solh,Rachid,M,2003-11-18,0,1
25,39357613,Tahiri,Yasmine,F,2003-02-12,0,4
26,29684908,El-Ayyad,Zine,M,2003-11-05,0,1
27,62505279,Zayed,Kawtar,F,2003-12-04,0,5
28,64879518,Berrah,Ibrahim,M,2003-02-15,0,2
29,73225518,El-Mekki,Jawad,M,2003-02-04,0,1
30,41448344,Oukhira,Samira,F,2003-10-25,0,1
31,60753689,Daoudi,Khadija,F,2003-09-26,0,3
32,86978042,Anas,Ahmed,M,2003-01-10,0,5
33,96424042,El-Basri,Younes,M,2003-12-08,0,4
34,38637708,Idrisi,Hossam,M,2003-06-06,0,3
35,98313058,Lahiji,Wafaa,F,2003-12-26,0,1
36,57830356,El-Massiri,Chafik,M,2003-04-04,0,3
37,87371199,Kebdani,Jawad,M,2003-03-06,0,2
38,26657301,Houri,Faycal,M,2003-07-31,0,1
39,39977151,Hasnaoui,Rida,M,2003-02-20,0,5
40,14440749,Sboui,Hanae,F,2003-12-15,0,4
41,65728165,Anouar,Jawad,M,2003-10-02,0,4
42,85620120,Boudiaf,Youssef,M,2003-04-23,0,3
43,74227007,El-Saadi,Israa,F,2003-07-28,0,1
44,90871815,Bennani,Meriem,F,2003-07-22,0,2
45,79451885,Rizki,Meriem,F,2003-05-04,0,2
46,33065981,Rabi,Sara,F,2003-11-09,0,2
47,97360616,Al-Fadli,Karim,M,2003-07-02,0,4
48,14535472,EL-OTMANI,Wissal,F,2003-08-03,0,5
49,27335462,Hafidi,Layla,F,2003-10-16,0,2
50,79316340,Sabri,Omar,M,2003-11-15,0,5
51,45668142,Haddouchi,Mouna,F,2003-06-21,0,4
52,33737277,El-Khoury,Hicham,M,2003-09-24,0,1
53,19802515,Anouar,Rachid,M,2003-02-14,0,1
54,98943925,Faiyaz,Mounir,M,2003-11-13,0,2
55,67950163,Khabir,Mohammed,M,2003-05-21,0,5
56,68967594,Fattah,Husain,M,2003-01-28,0,4
57,48975558,Ouazzani,Zahra,F,2003-08-17,0,1
58,39954525,Moutaouakkil,Fatiha,F,2003-05-01,0,2
59,54738343,Lahrichi,Meriem,F,2003-06-22,0,5
60,51142308,El-Bay,Maha,F,2003-08-27,0,1
61,11535043,Houri,Fatima,F,2003-02-07,0,2
62,46880161,Moussaoui,Hajar,F,2003-06-03,0,3
63,86844940,Berouane,Hanane,F,2003-10-15,1,6
64,58117482,Ouarzazi,Samia,F,2003-10-27,0,3
65,44994769,Benbihi,Anas,M,2003-02-14,0,3
66,45270255,Haidari,Badr,M,2003-09-02,0,1
67,57618319,Zouaoui,Najia,F,2003-06-11,0,4
68,45315957,Amari,Yahya,M,2003-01-16,0,5
69,66004615,El-Aissawi,Yousra,F,2003-02-11,0,3
70,70118703,Fattah,Rim,F,2003-10-30,0,4
