apogee,nom,prenom,mark,rattrapage,marksub1,marksub2
20941491,Berouane,Imad,15.32,False,14.65,15.99
13908485,Haddad,Sanaa,13.25,False,13.34,13.16
70749294,Rifai,Walid,10.02,True,8.45,11.58
64827661,Taoufiq,Maya,12.18,False,12.36,12.00
41874193,Saoud,Rim,14.11,False,14.20,14.03
75064561,El-Abbadi,Samira,13.66,False,14.92,12.39
47418293,Derraz,Tarek,14.89,False,14.50,15.29
54242615,El-Mohammadi,Mounir,12.02,False,10.70,13.35
84064976,Chennouf,Karim,12.45,False,10.54,14.37
42353519,El-Soufi,Salma,13.25,False,15.48,11.01
85974855,Ait-Sidi,Dounia,12.32,False,12.00,12.63
23262786,Haddad,Najia,14.75,False,15.38,14.12
17113999,Akil,Ahmed,16.56,False,19.86,13.27
32832814,Barjawi,Laila,12.46,False,12.36,12.55
50527881,El-Mekki,Mouna,13.39,False,14.48,12.31
92635400,Ouchrif,Rim,14.71,False,16.05,13.38
45226735,Bounou,Amine,13.36,False,14.25,12.46
37960196,Madani,Adil,13.53,False,13.16,13.89
88627569,Zikhri,Rachida,13.69,False,10.96,16.41
96515314,Tayeb,Laila,11.66,True,9.94,13.38
41270756,Anas,Dounia,15.42,False,16.62,14.22
70257982,Rkik,Amal,14.62,False,12.61,16.62
94440660,Ragheb,Simo,13.99,False,14.16,13.82
16732244,Saoud,Wiam,11.09,True,9.34,12.84
26203322,Berrah,Hanane,12.37,False,12.00,12.74
68291609,Zayed,Soufiane,14.06,False,11.94,16.18
79921153,El-Kherfi,Nawal,10.37,True,10.22,10.52
76548685,Lahrichi,Ahmed,12.27,False,15.33,9.21
55076873,Benslimane,Khalid,13.52,False,12.00,15.04
21277377,El-Ouarzazi,Nabil,13.53,False,12.97,14.09
58549042,Fakir,Youssef,14.04,False,14.86,13.22
16076220,Idriss,Zaid,13.09,False,12.00,14.17
94522614,Benbihi,Siham,17.59,False,15.17,20.00
97670802,Omar,Brahim,14.18,False,13.04,15.33
65512566,Rifai,Aicha,14.00,False,14.03,13.98
69551971,Heraichi,Rida,17.04,False,14.08,20.00
13216528,Zine,Mouna,12.66,False,13.32,12.00
10822906,Djari,Simo,11.71,True,10.72,12.71
65038424,Maid,Malika,14.20,False,14.19,14.20
50184447,Al-Khiyari,Sana,15.18,False,16.94,13.41
37892945,El-Basri,Asmaa,9.61,True,12.00,7.22
15172091,Al-Hadri,Othman,10.74,True,12.00,9.48
35155994,Derraz,Mouna,12.86,False,12.25,13.47
38970927,Fakir,Anas,13.61,False,13.80,13.42
16879010,Cherkaoui,Nawal,15.80,False,17.77,13.84
73756662,El-Solh,Karim,11.68,True,12.00,11.36
64980812,Akla,Mohammed,16.74,False,16.58,16.91
67071037,Akla,Ahmed,12.21,False,11.11,13.31
18376313,Badi,Samir,12.22,False,11.53,12.92
50098952,Fassi,Loubna,13.81,False,14.54,13.08
30033194,El-Khoury,Rim,13.26,False,13.24,13.28
27913369,Toulal,Amal,15.14,False,17.93,12.35
97515223,Haddad,Salma,12.91,False,12.00,13.83
69099806,Nadi,Walid,13.89,False,13.59,14.20
88779034,Faiyaz,Brahim,14.55,False,14.34,14.77
63040595,Brahimi,Abdelkader,16.00,False,20.00,12.00
99651206,Lahrichi,Rania,15.55,False,14.79,16.32
83308026,El-Kawthar,Mohammed,10.32,True,8.63,12.00
37513908,Yachou,Rachid,13.12,False,14.25,12.00
10496558,El-Ouarzazi,Hossam,8.50,True,8.03,8.98
24959741,Rkik,Rania,14.19,False,15.04,13.34
43383383,Toulal,Bilal,12.00,True,12.00,12.00
58736586,Salhi,Salma,14.31,False,16.76,11.86
79729955,Fassi,Saber,13.47,False,12.00,14.94
49038114,El-Attari,Brahim,14.35,False,16.70,12.00
85049207,Haidari,Fadoua,13.30,False,12.00,14.60
68179448,Zanate,Soufiane,15.44,False,17.30,13.57
16614245,Zikhri,Mouna,15.41,False,17.82,13.01
67752692,El-Khader,Mohammed,12.85,False,13.70,12.00
60626594,Rahmouni,Hassan,14.90,False,16.43,13.37
