apogee,nom,noteyear1,pass_year1,noteyear2,pass_year2,noteyear3,pass_year3
66141774,Benkirane,11.93,False,11.68,False,11.98,False
34462736,Zayed,13.16,True,12.77,True,13.18,True
87205287,El-Bay,13.92,True,12.40,True,13.10,True
61461023,Cherkaoui,15.22,True,14.69,True,13.59,True
92839140,Kabbour,13.38,True,13.76,True,14.15,True
61455530,Ait-Lahcen,12.51,True,12.62,True,13.27,True
17548754,Fattah,12.48,True,13.74,True,13.68,True
89802536,El-Solh,14.01,True,12.69,True,11.45,False
57501364,Berrah,12.43,True,13.33,True,14.53,True
30518617,Hajji,12.56,True,11.98,False,11.61,False
90569199,Berouane,14.16,True,13.84,True,12.88,True
22135175,Djamel,14.06,True,14.12,True,14.95,True
14704189,Arbi,14.52,True,13.54,True,14.69,True
25415120,Lahrichi,13.16,True,13.68,True,12.26,True
29962256,El-Rahmani,13.48,True,13.92,True,14.09,True
20612869,Mouhammad,12.56,True,11.72,False,12.10,True
57761949,Fassi,13.64,True,13.16,True,13.72,True
63830043,Benno,13.92,True,13.60,True,13.02,True
31295400,Maha,13.99,True,13.41,True,12.66,True
66110542,Rabi,13.44,True,12.72,True,12.28,True
40031992,El-Aissawi,15.14,True,13.78,True,12.75,True
64259908,Mejri,13.54,True,12.57,True,13.68,True
36104001,Mourad,13.79,True,13.42,True,15.38,True
40936277,Salhi,14.61,True,13.05,True,13.87,True
94827451,Aziz,13.02,True,11.70,False,12.60,True
82105244,Tajar,14.05,True,14.31,True,14.91,True
95588949,Berrah,13.01,True,13.55,True,13.56,True
90023592,Aissat,13.16,True,12.54,True,10.87,False
68098717,Rkia,13.76,True,13.92,True,13.46,True
87956839,Al-Mutawakkil,14.55,True,13.13,True,14.18,True
46190819,Chennouf,13.12,True,12.38,True,13.31,True
82720273,El-Gassimi,14.02,True,13.11,True,13.50,True
75236473,El-Kosari,13.62,True,13.00,True,12.33,True
60310362,Ouares,13.31,True,14.39,True,12.61,True
81788668,El-Bennani,14.31,True,14.14,True,13.04,True
85761190,El-Benali,13.85,True,14.06,True,14.33,True
11493970,El-Midani,13.66,True,13.88,True,11.44,False
81811666,Hasnaoui,15.27,True,14.02,True,14.21,True
17984924,Berrada,14.37,True,13.67,True,12.86,True
73942041,Nissani,13.29,True,12.05,True,12.58,True
66376441,Baddi,14.30,True,14.02,True,13.36,True
92214212,El-Khader,12.28,True,13.10,True,14.65,True
49152306,Ezzedine,13.09,True,13.42,True,13.13,True
46279776,Idrisi,14.04,True,13.75,True,12.23,True
85828368,Ouares,13.82,True,14.40,True,12.42,True
84931248,Arbi,12.75,True,14.10,True,12.51,True
54091618,Rifai,13.15,True,13.58,True,14.04,True
27070390,El-Bekkali,14.26,True,13.05,True,13.63,True
60251853,El-Midani,13.86,True,14.08,True,13.58,True
73801476,Nadi,14.07,True,14.34,True,14.26,True
25176487,Anas,13.35,True,12.62,True,12.64,True
59201033,El-Mansouri,14.15,True,13.81,True,13.82,True
35062206,El-Mekki,12.11,True,13.59,True,13.74,True
48334134,El-Idrissi,12.15,True,12.54,True,14.26,True
57785456,Maid,13.36,True,13.34,True,14.33,True
57283480,Anas,13.71,True,12.67,True,14.02,True
95586003,Saghir,12.44,True,12.59,True,13.49,True
30843296,El-Mekki,13.56,True,13.90,True,12.45,True
18388787,Nadi,13.39,True,13.16,True,12.87,True
46657796,Maddouri,13.16,True,13.36,True,13.17,True
60121172,El-Chaoui,13.42,True,13.40,True,13.21,True
41059192,Marhaba,14.21,True,13.90,True,14.51,True
72183146,Ouazzani,12.89,True,12.41,True,14.06,True
13035541,Mouhammad,13.38,True,12.75,True,13.08,True
26456283,Jouhari,12.73,True,12.31,True,12.58,True
30141586,Mejri,12.62,True,12.26,True,14.51,True
61072533,Benkirane,13.57,True,12.84,True,12.10,True
17583209,El-Qasimi,12.80,True,12.15,True,12.93,True
74588410,Chafik,14.44,True,13.52,True,12.32,True
69535522,El-Basri,13.99,True,13.17,True,13.32,True
