ID,Code APO,Nom,Prénom,Sexe,Birthdate,Number of Ajournements,absence_bias
1,66141774,Benkirane,Fouad,M,2000-06-25,1,7
2,34462736,Zayed,Dounia,F,2000-02-13,0,5
3,87205287,El-Bay,Dounia,F,2000-08-31,0,4
4,61461023,Cherkaoui,Hajar,F,2000-09-10,0,3
5,92839140,Kabbour,Dari,M,2000-11-05,0,1
6,61455530,Ait-Lahcen,Zine,M,2000-10-29,0,5
7,17548754,Fattah,Nawel,F,2000-02-12,0,5
8,89802536,El-Solh,Salim,M,2000-09-28,0,4
9,57501364,Berrah,Najwa,F,2000-08-22,0,2
10,30518617,Hajji,Kawtar,F,2000-03-14,1,7
11,90569199,Berouane,Bilal,M,2000-01-03,0,4
12,22135175,Djamel,Adil,M,2000-02-21,0,1
13,14704189,Arbi,Laila,F,2000-12-07,0,2
14,25415120,Lahrichi,Rama,F,2000-01-15,0,4
15,29962256,El-Rahmani,Fouad,M,2000-05-23,0,2
16,20612869,Mouhammad,Rachid,M,2000-07-12,1,7
17,57761949,Fassi,Zaynab,F,2000-09-10,0,3
18,63830043,Benno,Amal,F,2000-09-20,0,3
19,31295400,Maha,Adil,M,2000-10-11,0,3
20,66110542,Rabi,Samira,F,2000-11-07,0,5
21,40031992,El-Aissawi,Brahim,M,2000-08-03,0,1
22,64259908,Mejri,Hassan,M,2000-10-22,0,1
23,36104001,Mourad,Loubna,F,2000-12-12,0,1
24,40936277,Salhi,Amina,F,2000-04-01,0,1
25,94827451,Aziz,Fatima,F,2000-07-09,1,6
26,82105244,Tajar,Nasser,M,2000-08-11,0,3
27,95588949,Berrah,Saber,M,2000-04-05,0,5
28,90023592,Aissat,Said,M,2000-08-29,0,5
29,68098717,Rkia,Hakim,M,2000-10-13,0,1
30,87956839,Al-Mutawakkil,Rania,F,2000-06-25,0,2
31,46190819,Chennouf,Fadoua,F,2000-06-26,0,3
32,82720273,El-Gassimi,Nadia,F,2000-05-17,0,3
33,75236473,El-Kosari,Jamal,M,2000-07-29,0,3
34,60310362,Ouares,Rania,F,2000-10-25,0,4
35,81788668,El-Bennani,Fadel,M,2000-07-01,0,4
36,85761190,El-Benali,Mounir,M,2000-07-12,0,2
37,11493970,El-Midani,Ali,M,2000-07-04,0,5
38,81811666,Hasnaoui,Dounia,F,2000-12-26,0,1
39,17984924,Berrada,Jawad,M,2000-06-20,0,3
40,73942041,Nissani,Hajar,F,2000-03-18,0,5
41,66376441,Baddi,Asmae,F,2000-10-29,0,3
42,92214212,El-Khader,Hicham,M,2000-11-12,0,3
43,49152306,Ezzedine,Amal,F,2000-02-01,0,5
44,46279776,Idrisi,Nassim,M,2000-06-02,0,3
45,85828368,Ouares,Ines,F,2000-10-26,0,3
46,84931248,Arbi,Laila,F,2000-08-06,0,3
47,54091618,Rifai,Malika,F,2000-07-26,0,4
48,27070390,El-Bekkali,Hassan,M,2000-09-30,0,2
49,60251853,El-Midani,Nour,F,2000-02-02,0,2
50,73801476,Nadi,Othman,M,2000-12-08,0,1
51,25176487,Anas,Wiam,F,2000-01-11,0,4
52,59201033,El-Mansouri,Maha,F,2000-04-21,0,2
53,35062206,El-Mekki,Malak,F,2000-10-03,0,3
54,48334134,El-Idrissi,Hassan,M,2000-09-18,0,4
55,57785456,Maid,Kawtar,F,2000-03-10,0,5
56,57283480,Anas,Younes,M,2000-01-03,0,2
57,95586003,Saghir,Youssef,M,2000-10-25,0,5
58,30843296,El-Mekki,Ines,F,2000-01-15,0,4
59,18388787,Nadi,Hajar,F,2000-03-05,0,4
60,46657796,Maddouri,Fatiha,F,2000-10-21,0,4
61,60121172,El-Chaoui,Imane,F,2000-08-23,0,4
62,41059192,Marhaba,Sanae,F,2000-08-20,0,1
63,72183146,Ouazzani,Siham,F,2000-02-06,0,4
64,13035541,Mouhammad,Loubna,F,2000-04-17,0,4
65,26456283,Jouhari,Amine,M,2000-02-18,1,7
66,30141586,Mejri,Youssef,M,2000-03-08,0,5
67,61072533,Benkirane,Loubna,F,2000-01-16,0,3
68,17583209,El-Qasimi,Zine,M,2000-09-19,0,4
69,74588410,Chafik,Hanane,F,2000-10-22,0,2
70,69535522,El-Basri,Salim,M,2000-05-12,0,4
