nom,prenom,apogee,cour1,cour2,cour3,cour4,cour5,cour6,cour7,cour8,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8
Berouane,Imad,20941491,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Haddad,Sanaa,13908485,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1
Rifai,Walid,70749294,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1
Taoufiq,Maya,64827661,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
Saoud,Rim,41874193,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
El-Abbadi,Samira,75064561,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0
Derraz,Tarek,47418293,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1
El-Mohammadi,Mounir,54242615,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0
Chennouf,Karim,84064976,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0
El-Soufi,Salma,42353519,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
Ait-Sidi,Dounia,85974855,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haddad,Najia,23262786,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1
Akil,Ahmed,17113999,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1
Barjawi,Laila,32832814,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
El-Mekki,Mouna,50527881,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Ouchrif,Rim,92635400,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
Bounou,Amine,45226735,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0
Madani,Adil,37960196,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0
Zikhri,Rachida,88627569,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0
Tayeb,Laila,96515314,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Anas,Dounia,41270756,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1
Rkik,Amal,70257982,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Ragheb,Simo,94440660,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
Saoud,Wiam,16732244,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Berrah,Hanane,26203322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zayed,Soufiane,68291609,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
El-Kherfi,Nawal,79921153,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0
Lahrichi,Ahmed,76548685,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Benslimane,Khalid,55076873,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
El-Ouarzazi,Nabil,21277377,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1
Fakir,Youssef,58549042,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Idriss,Zaid,16076220,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1
Benbihi,Siham,94522614,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
Omar,Brahim,97670802,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Rifai,Aicha,65512566,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
Heraichi,Rida,69551971,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Zine,Mouna,13216528,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
Djari,Simo,10822906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maid,Malika,65038424,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Al-Khiyari,Sana,50184447,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
El-Basri,Asmaa,37892945,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Al-Hadri,Othman,15172091,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1
Derraz,Mouna,35155994,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Fakir,Anas,38970927,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1
Cherkaoui,Nawal,16879010,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
El-Solh,Karim,73756662,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1
Akla,Mohammed,64980812,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0
Akla,Ahmed,67071037,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1
Badi,Samir,18376313,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1
Fassi,Loubna,50098952,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
El-Khoury,Rim,30033194,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Toulal,Amal,27913369,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1
Haddad,Salma,97515223,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1
Nadi,Walid,69099806,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0
Faiyaz,Brahim,88779034,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Brahimi,Abdelkader,63040595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lahrichi,Rania,99651206,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
El-Kawthar,Mohammed,83308026,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Yachou,Rachid,37513908,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
El-Ouarzazi,Hossam,10496558,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1
Rkik,Rania,24959741,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Toulal,Bilal,43383383,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Salhi,Salma,58736586,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1
Fassi,Saber,79729955,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
El-Attari,Brahim,49038114,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Haidari,Fadoua,85049207,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1
Zanate,Soufiane,68179448,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0
Zikhri,Mouna,16614245,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0
