ID,Code APO,Nom,Prénom,Sexe,Birthdate,Number of Ajournements,absence_bias
1,20941491,Berouane,Imad,M,2004-05-24,0,4
2,13908485,Haddad,Sanaa,F,2004-11-23,0,2
3,70749294,Rifai,Walid,M,2004-09-26,0,4
4,64827661,Taoufiq,Maya,F,2004-09-01,0,3
5,41874193,Saoud,Rim,F,2004-10-04,0,4
6,75064561,El-Abbadi,Samira,F,2004-06-03,0,1
7,47418293,Derraz,Tarek,M,2004-07-24,0,1
8,54242615,El-Mohammadi,Mounir,M,2004-12-29,0,5
9,84064976,Chennouf,Karim,M,2004-01-05,0,3
10,42353519,El-Soufi,Salma,F,2004-12-27,0,5
11,85974855,Ait-Sidi,Dounia,F,2004-02-10,0,3
12,23262786,Haddad,Najia,F,2004-03-12,0,1
13,17113999,Akil,Ahmed,M,2004-02-20,0,1
14,32832814,Barjawi,Laila,F,2004-01-17,0,3
15,50527881,El-Mekki,Mouna,F,2004-12-12,0,3
16,92635400,Ouchrif,Rim,F,2004-04-16,0,1
17,45226735,Bounou,Amine,M,2004-08-13,0,3
18,37960196,Madani,Adil,M,2004-09-18,0,2
19,88627569,Zikhri,Rachida,F,2004-10-14,0,4
20,96515314,Tayeb,Laila,F,2004-02-08,0,4
21,41270756,Anas,Dounia,F,2004-03-16,0,2
22,70257982,Rkik,Amal,F,2004-10-22,0,5
23,94440660,Ragheb,Simo,M,2004-09-18,0,1
24,16732244,Saoud,Wiam,F,2004-09-26,0,3
25,26203322,Berrah,Hanane,F,2004-05-18,0,5
26,68291609,Zayed,Soufiane,M,2004-10-07,0,4
27,79921153,El-Kherfi,Nawal,F,2004-02-10,0,4
28,76548685,Lahrichi,Ahmed,M,2004-11-13,0,5
29,55076873,Benslimane,Khalid,M,2004-04-01,0,5
30,21277377,El-Ouarzazi,Nabil,M,2004-04-02,0,1
31,58549042,Fakir,Youssef,M,2004-04-29,0,5
32,16076220,Idriss,Zaid,M,2004-03-21,0,3
33,94522614,Benbihi,Siham,F,2004-03-18,0,2
34,97670802,Omar,Brahim,M,2004-11-14,0,4
35,65512566,Rifai,Aicha,F,2004-02-10,0,2
36,69551971,Heraichi,Rida,M,2004-10-04,0,5
37,13216528,Zine,Mouna,F,2004-10-27,0,5
38,10822906,Djari,Simo,M,2004-12-09,1,6
39,65038424,Maid,Malika,F,2004-02-03,0,3
40,50184447,Al-Khiyari,Sana,F,2004-05-29,0,3
41,37892945,El-Basri,Asmaa,F,2004-12-18,0,5
42,15172091,Al-Hadri,Othman,M,2004-01-18,0,2
43,35155994,Derraz,Mouna,F,2004-12-17,0,5
44,38970927,Fakir,Anas,M,2004-01-26,0,1
45,16879010,Cherkaoui,Nawal,F,2004-10-05,0,3
46,73756662,El-Solh,Karim,M,2004-08-01,0,3
47,64980812,Akla,Mohammed,M,2004-05-11,0,2
48,67071037,Akla,Ahmed,M,2004-10-13,0,2
49,18376313,Badi,Samir,M,2004-03-31,0,3
50,50098952,Fassi,Loubna,F,2004-04-15,0,4
51,30033194,El-Khoury,Rim,F,2004-08-24,0,3
52,27913369,Toulal,Amal,F,2004-12-24,0,1
53,97515223,Haddad,Salma,F,2004-08-26,0,3
54,69099806,Nadi,Walid,M,2004-10-21,0,1
55,88779034,Faiyaz,Brahim,M,2004-01-01,0,2
56,63040595,Brahimi,Abdelkader,M,2004-10-08,0,5
57,99651206,Lahrichi,Rania,F,2004-12-14,0,1
58,83308026,El-Kawthar,Mohammed,M,2004-01-06,0,3
59,37513908,Yachou,Rachid,M,2004-05-30,0,5
60,10496558,El-Ouarzazi,Hossam,M,2004-11-04,0,5
61,24959741,Rkik,Rania,F,2004-05-23,0,5
62,43383383,Toulal,Bilal,M,2004-02-14,0,5
63,58736586,Salhi,Salma,F,2004-04-27,0,2
64,79729955,Fassi,Saber,M,2004-03-01,0,2
65,49038114,El-Attari,Brahim,M,2004-07-03,0,3
66,85049207,Haidari,Fadoua,F,2004-09-06,0,2
67,68179448,Zanate,Soufiane,M,2004-09-22,0,2
68,16614245,Zikhri,Mouna,F,2004-03-13,0,2
69,67752692,El-Khader,Mohammed,M,2004-10-19,0,5
70,60626594,Rahmouni,Hassan,M,2004-01-11,0,5
