apogee,nom,prenom,mark,rattrapage,marksub1,marksub2
98121898,Tawfik,Rim,12.38,False,12.00,12.76
36986525,Ouaji,Hassan,13.77,False,12.00,15.53
72293590,Fakir,Hassan,11.80,True,11.61,12.00
60188590,Bentaib,Youssef,13.04,False,10.45,15.62
81552017,Hasnaoui,Rim,11.82,True,9.42,14.23
22767080,El-Mekki,Khaled,11.48,True,11.10,11.87
83432012,Tajar,Amina,13.59,False,14.12,13.05
66999967,Belaid,Nadia,14.86,False,11.87,17.85
91547781,Zikhri,Ahmed,12.63,False,12.89,12.37
21954568,Jouhari,Imad,12.00,False,12.00,12.00
25407816,Shami,Said,12.45,False,12.42,12.48
72433484,Cherkaoui,Sofia,10.56,True,12.00,9.12
12819739,Maid,Rania,12.44,False,14.72,10.16
48365163,Rihani,Rama,11.66,True,11.33,12.00
69936758,El-Kammouni,Fouad,10.93,True,12.00,9.87
39739817,Aziz,Riyad,12.88,False,14.12,11.65
69051062,El-Ayyad,Ismail,12.43,False,12.87,12.00
45755099,Ouchrif,Mouna,12.14,False,12.28,12.00
88904661,Zarrouk,Adil,12.20,False,12.39,12.00
82250542,Berrada,Mohcine,13.12,False,15.68,10.55
94718756,Saoud,Hassan,15.12,False,12.00,18.24
13088211,Nasser,Faycal,15.89,False,12.00,19.79
99509361,Housni,Ismail,12.62,False,12.72,12.53
77781257,Haddouchi,Amal,13.04,False,13.02,13.06
88373562,Dahbi,Laila,13.86,False,12.00,15.72
54541498,Zarouk,Mohammed,13.16,False,14.31,12.00
31741760,Idrisi,Nour,12.98,False,12.00,13.97
29089104,Hassani,Yassine,10.85,True,12.66,9.04
36871734,El-Talbi,Lahcen,14.92,False,17.18,12.66
88864305,Lahouari,Latifa,12.00,True,12.00,12.00
97419599,Al-Mutawakkil,Ahmed,13.39,False,14.82,11.96
90533809,Amari,Sami,12.68,False,12.33,13.04
20470749,Maki,Mouna,12.18,False,12.36,12.00
32490508,Nasser,Hind,9.96,True,9.82,10.10
34194426,Tazi,Hanane,13.28,False,12.00,14.56
26189878,Ammi,Chafia,13.78,False,14.01,13.55
12689768,El-Farouki,Maya,10.37,True,12.00,8.74
83025353,Zarrouk,Fatima,10.98,True,16.73,5.24
23084028,El-Kherfi,Kenza,10.88,True,11.32,10.43
99230218,El-Chaoui,Hassan,10.27,True,9.51,11.04
63517772,Benbihi,Fatima,10.31,True,11.63,8.99
73995488,Al-Hadri,Bilal,12.93,False,14.20,11.65
82721476,Chafik,Khalil,12.98,False,13.37,12.59
68828007,Benali,Tariq,13.87,False,11.72,16.01
78967110,Al-Mutawakkil,Marouane,17.02,False,16.46,17.57
57797017,Faiyaz,Tarek,11.95,True,10.17,13.73
59628491,Alami,Samir,14.81,False,13.61,16.01
33812858,Bouzid,Hassan,12.63,False,11.84,13.42
61844460,Yachou,Nadia,15.55,False,11.12,19.99
12025609,Goussar,Khadija,13.59,False,11.94,15.25
45029871,Essamadi,Mouna,12.67,False,12.48,12.86
90174316,Akoubri,Rania,11.33,True,9.32,13.34
24050048,El-Khayat,Hamza,14.08,False,13.61,14.55
77412876,Hassani,Rania,13.77,False,13.10,14.43
73312471,Ouazzani,Khaled,15.08,False,13.29,16.88
31665366,Kachkach,Tariq,8.55,True,7.17,9.94
32604569,Ammi,Soufiane,14.18,False,12.70,15.66
77469493,Benali,Mohcine,9.93,True,7.86,12.00
35632193,Al-Hadri,Mounir,11.21,True,12.42,9.99
87376313,Fikri,Ibrahim,14.59,False,14.04,15.14
74557140,Haidari,Maya,11.28,True,10.56,11.99
99754555,El-Kammouni,Salim,12.91,False,13.82,12.00
91299310,Maki,Chafik,12.32,False,14.90,9.74
42903936,Tazi,Yassine,13.08,False,12.64,13.52
58506985,Chennouf,Meriem,11.34,True,13.37,9.30
17325324,Maha,Wafaa,15.19,False,15.89,14.48
58065281,El-Atmani,Oumayma,15.38,False,14.79,15.98
96189982,Al-Hossaini,Adil,14.19,False,14.27,14.11
96480119,Toulal,Ibrahim,12.74,False,15.07,10.41
13872520,Khabir,Imad,13.40,False,19.24,7.56
