apogee,nom,prenom,mark,rattrapage,marksub1,marksub2
34616207,Fattah,Rim,13.97,False,15.94,12.00
19637826,Didi,Samira,12.36,False,11.47,13.24
93875780,El-Fassi,Zaid,11.36,True,9.62,13.10
51455174,Al-Karim,Meryem,13.03,False,14.64,11.42
17469335,Faiyaz,Loubna,14.67,False,15.52,13.82
99319458,Rafik,Sofia,11.68,True,9.25,14.11
82110308,Al-Khiyari,Adil,13.54,False,11.87,15.22
57410840,Rifai,Abdelkader,13.70,False,10.36,17.04
37251789,Meriem,Mohammed,14.61,False,14.60,14.61
94410242,El-Hariri,Aziz,12.61,False,14.11,11.12
33760418,El-Moudden,Adil,13.19,False,14.78,11.60
78341217,Ramdani,Rida,10.69,True,9.38,12.00
44215015,Boudiaf,Rania,11.91,True,11.83,12.00
87605502,El-Fassi,Samira,16.72,False,15.16,18.28
83585814,Jabari,Fatiha,13.64,False,14.22,13.07
28787964,El-Mekki,Samira,13.53,False,11.92,15.13
98718806,El-Bekkali,Anissa,14.76,False,12.93,16.59
77246649,Ibrahim,Nour,13.95,False,15.89,12.00
89549000,El-Soufi,Jawad,13.45,False,11.25,15.65
85025973,Saib,Widad,12.00,True,12.00,12.00
42266475,Goussar,Leila,11.42,True,10.84,12.00
61280824,Hassani,Hicham,16.23,False,12.46,20.00
73291210,El-Rahmani,Hassan,15.55,False,13.49,17.62
47317280,El-Solh,Rachid,13.09,False,12.00,14.17
39357613,Tahiri,Yasmine,13.62,False,13.12,14.13
29684908,El-Ayyad,Zine,12.77,False,13.53,12.00
62505279,Zayed,Kawtar,13.43,False,14.87,12.00
64879518,Berrah,Ibrahim,16.45,False,16.24,16.67
73225518,El-Mekki,Jawad,11.18,True,13.28,9.09
41448344,Oukhira,Samira,13.16,False,12.00,14.33
60753689,Daoudi,Khadija,13.11,False,12.00,14.21
86978042,Anas,Ahmed,13.53,False,12.64,14.41
96424042,El-Basri,Younes,13.31,False,12.52,14.10
38637708,Idrisi,Hossam,12.73,False,11.55,13.90
98313058,Lahiji,Wafaa,13.53,False,15.66,11.40
57830356,El-Massiri,Chafik,13.70,False,13.38,14.01
87371199,Kebdani,Jawad,12.46,False,14.12,10.80
26657301,Houri,Faycal,13.39,False,12.63,14.16
39977151,Hasnaoui,Rida,10.68,True,7.23,14.13
14440749,Sboui,Hanae,12.01,False,10.60,13.42
65728165,Anouar,Jawad,11.12,True,12.00,10.24
85620120,Boudiaf,Youssef,13.00,False,12.72,13.28
74227007,El-Saadi,Israa,12.38,False,12.00,12.76
90871815,Bennani,Meriem,12.29,False,11.70,12.89
79451885,Rizki,Meriem,12.29,False,12.00,12.59
33065981,Rabi,Sara,15.85,False,17.46,14.24
97360616,Al-Fadli,Karim,11.77,True,10.90,12.63
14535472,EL-OTMANI,Wissal,14.49,False,16.51,12.46
27335462,Hafidi,Layla,12.44,False,12.44,12.44
79316340,Sabri,Omar,10.20,True,11.54,8.85
45668142,Haddouchi,Mouna,12.29,False,15.10,9.48
33737277,El-Khoury,Hicham,13.45,False,14.19,12.71
19802515,Anouar,Rachid,12.29,False,13.90,10.67
98943925,Faiyaz,Mounir,12.57,False,12.00,13.14
67950163,Khabir,Mohammed,14.21,False,12.00,16.42
68967594,Fattah,Husain,11.98,True,13.13,10.84
48975558,Ouazzani,Zahra,15.35,False,13.09,17.60
39954525,Moutaouakkil,Fatiha,15.12,False,18.25,12.00
54738343,Lahrichi,Meriem,15.36,False,18.71,12.00
51142308,El-Bay,Maha,16.51,False,17.19,15.82
11535043,Houri,Fatima,12.82,False,13.64,12.00
46880161,Moussaoui,Hajar,11.73,True,12.00,11.46
86844940,Berouane,Hanane,10.36,True,10.71,10.00
58117482,Ouarzazi,Samia,12.98,False,14.34,11.62
44994769,Benbihi,Anas,15.26,False,14.11,16.41
45270255,Haidari,Badr,13.71,False,16.09,11.34
57618319,Zouaoui,Najia,10.79,True,8.60,12.98
45315957,Amari,Yahya,11.28,True,10.55,12.00
66004615,El-Aissawi,Yousra,12.12,False,9.39,14.84
70118703,Fattah,Rim,11.88,True,11.75,12.00
